customer_id,customer_name,location,customer_age,tenure_months,subscription_type,monthly_spend,total_spend,contract_length,login_frequency,avg_session_duration,support_tickets,complaints,payment_failures,discount_usage,product_usage,last_active_days,customer_satisfaction,previous_upgrades,previous_downgrades,churn_probability_ground_truth,churn
C1082,Meera Reddy,Chennai,39,1,Basic,1480.0,1379.12,1 Year,15,34.2,3,2,1,0,Medium,32,2.7,1,0,0.6025,1
C1083,Kabir Agarwal,Hyderabad,32,2,Basic,1200.0,2365.07,1 Month,15,50.6,2,0,0,1,Medium,0,4.1,1,0,0.1343,0
C1084,Ananya Patel,Chennai,21,10,Basic,1510.0,14773.62,1 Month,10,13.3,1,1,0,0,Medium,3,4.8,0,0,0.1863,0
C1085,Kabir Verma,Mumbai,28,32,Basic,1300.0,38849.14,1 Year,17,34.0,2,0,0,1,Medium,1,4.5,0,0,0.0877,0
C1086,Aditya Nair,Bengaluru,25,7,Pro,4180.0,26408.32,1 Month,15,32.8,4,1,1,0,Medium,11,3.4,0,0,0.3479,0
C1087,Harper Thomas,Toronto,25,27,Pro,4570.0,118581.94,1 Month,15,15.7,1,1,1,0,Medium,17,3.4,0,0,0.1862,0
C1088,Rohan Gupta,Pune,40,2,Enterprise,20150.0,38223.54,2 Year,12,49.3,3,3,0,1,Medium,2,4.5,0,1,0.1636,0
C1089,Isha Chatterjee,Bengaluru,54,10,Pro,4610.0,43445.74,2 Year,8,33.1,3,2,0,0,Medium,14,4.0,1,0,0.1087,0
C1090,Ananya Kumar,Delhi NCR,21,3,Basic,1250.0,3767.99,1 Year,24,6.0,2,1,0,1,High,22,4.8,0,0,0.1164,0
C1091,Sarah Anderson,London,22,36,Pro,3880.0,140576.51,1 Month,16,32.4,1,0,1,0,Medium,19,3.0,0,0,0.0814,0
C1092,Emma Anderson,Toronto,38,60,Pro,4150.0,258712.11,1 Year,17,18.2,2,2,0,1,Medium,10,4.3,1,0,0.044,0
C1093,Charlotte Thompson,Sydney,33,8,Pro,6310.0,45639.81,2 Year,22,36.7,0,0,1,0,High,17,3.0,0,0,0.01,0
C1094,Neha Singh,Bengaluru,40,60,Pro,5480.0,340818.59,1 Year,15,17.0,2,1,0,0,Medium,17,5.0,0,0,0.01,0
C1095,Alex Garcia,Sydney,35,26,Pro,3320.0,86418.34,1 Month,14,28.5,4,1,0,1,Medium,2,4.8,1,0,0.01,0
C1096,Charlotte Davis,Singapore,47,1,Pro,2610.0,2607.19,1 Month,20,53.2,2,2,0,1,High,8,2.9,1,0,0.2234,0
C1097,Priya Mehta,Mumbai,41,12,Basic,1220.0,15354.56,1 Month,20,29.4,5,5,0,1,High,4,3.3,0,0,0.5795,1
C1098,Sophia Miller,New York,43,33,Basic,1470.0,44224.88,1 Month,9,25.0,2,1,0,0,Medium,14,3.4,0,0,0.1981,0
C1099,Neha Joshi,Mumbai,45,14,Basic,1040.0,14858.22,1 Month,13,17.6,6,1,0,1,Medium,15,3.7,0,0,0.5428,1
C1100,Noah Wilson,Singapore,25,15,Basic,1510.0,22400.91,1 Month,15,31.9,3,1,2,0,Medium,3,3.5,1,0,0.3123,0
C1101,Daniel Anderson,Sydney,41,11,Pro,4550.0,46259.07,1 Year,14,17.5,2,0,0,0,Medium,15,3.3,0,1,0.1327,0
C1102,Anushka Iyer,Mumbai,41,10,Basic,1150.0,11679.63,1 Month,15,11.2,5,1,0,1,Medium,16,5.0,0,0,0.4194,0
C1103,Kabir Singh,Pune,32,1,Pro,5100.0,4864.37,1 Month,13,19.4,6,1,0,1,Medium,20,5.0,1,0,0.4784,1
C1104,Daniel Johnson,San Francisco,32,18,Enterprise,16640.0,280920.46,1 Month,10,35.5,3,0,1,1,Medium,3,4.4,1,0,0.0892,0
C1105,Isha Iyer,Hyderabad,33,27,Basic,1110.0,29568.22,1 Year,18,43.8,2,1,0,1,Medium,16,4.4,0,0,0.0509,0
C1106,Rahul Rao,Hyderabad,28,29,Basic,1400.0,39444.87,1 Month,11,13.9,3,3,0,0,Medium,2,3.8,0,0,0.3423,0
C1107,James Rodriguez,San Francisco,23,18,Pro,4470.0,74309.94,1 Month,13,62.5,3,1,0,0,Medium,4,2.7,1,0,0.148,0
C1108,Alex Martin,Toronto,55,8,Basic,1770.0,14296.77,1 Year,8,7.5,3,3,0,0,Medium,25,2.2,0,0,0.7133,1
C1109,James Anderson,New York,45,1,Basic,1410.0,1334.97,1 Year,11,33.1,2,2,0,1,Medium,18,3.4,0,0,0.3494,0
C1110,Arjun Iyer,Chennai,36,41,Basic,1390.0,55496.95,1 Month,12,16.5,2,1,2,0,Medium,4,3.2,0,0,0.2691,0
C1111,Ava Martin,Singapore,22,11,Basic,1190.0,12347.98,2 Year,13,30.2,3,3,0,0,Medium,7,3.9,0,2,0.11,0
C1112,Liam Taylor,Sydney,40,17,Enterprise,21560.0,354073.56,1 Year,14,2.7,2,1,0,0,Medium,2,3.2,2,0,0.0454,0
C1113,Aditya Reddy,Hyderabad,32,4,Pro,4240.0,15899.08,1 Year,14,5.6,3,0,3,1,Medium,20,3.4,0,1,0.5506,1
C1114,Noah Garcia,Toronto,34,3,Pro,4730.0,13794.44,1 Month,9,36.5,3,1,1,1,Medium,5,4.0,0,0,0.4496,0
C1115,Dev Chatterjee,Mumbai,56,2,Enterprise,15290.0,28258.96,1 Month,15,21.9,0,0,0,1,Medium,23,4.6,0,1,0.1216,0
C1116,Vikram Chopra,Pune,53,29,Pro,5330.0,145669.31,1 Year,18,21.1,5,1,0,1,Medium,40,4.2,0,0,0.1161,0
C1117,Arjun Bhasin,Hyderabad,21,19,Basic,1290.0,22843.0,2 Year,14,17.4,4,0,0,1,Medium,14,4.0,0,0,0.2228,0
C1118,Vikram Agarwal,Hyderabad,39,18,Enterprise,25440.0,436915.98,1 Month,9,21.3,2,1,0,1,Medium,48,3.8,0,0,0.4654,1
C1119,Olivia Williams,Singapore,37,46,Pro,6410.0,302094.23,1 Month,15,33.3,3,0,1,1,Medium,5,4.2,0,1,0.0603,0
C1120,Meera Iyer,Mumbai,39,4,Pro,5110.0,19914.84,1 Month,12,31.7,4,2,0,0,Medium,1,2.9,0,0,0.4272,0
C1121,Sophia Martinez,London,30,4,Enterprise,18740.0,72231.39,2 Year,18,11.2,6,0,0,0,Medium,2,3.1,1,0,0.093,0
C1122,David Smith,San Francisco,36,4,Basic,920.0,3627.96,1 Year,16,5.0,1,0,0,0,Medium,8,5.0,0,0,0.1472,0
C1123,Tanvi Patel,Hyderabad,26,10,Basic,1470.0,14960.05,1 Year,14,9.1,0,0,2,1,Medium,1,2.7,1,1,0.1739,0
C1124,Karan Reddy,Chennai,45,38,Basic,1260.0,45225.0,1 Year,14,13.3,4,1,0,1,Medium,1,2.2,0,0,0.175,0
C1125,Amelia Taylor,London,45,39,Basic,1360.0,54155.89,1 Month,12,7.6,2,1,1,1,Medium,67,5.0,0,0,0.5394,1
C1126,Aarav Rao,Hyderabad,50,17,Pro,5880.0,93706.39,1 Month,11,22.9,2,1,0,0,Medium,12,4.4,0,0,0.1229,0
C1127,Rahul Bhasin,Mumbai,29,20,Enterprise,15610.0,320688.94,1 Month,15,33.2,1,0,3,0,Medium,6,3.7,0,0,0.1154,0
C1128,Priya Bhasin,Bengaluru,38,42,Basic,920.0,39607.14,1 Month,12,22.4,0,0,0,0,Medium,7,5.0,0,0,0.0228,0
C1129,Lucas Lee,Toronto,54,18,Pro,4310.0,76697.89,1 Month,15,25.8,6,3,3,0,Medium,13,3.5,0,0,0.815,1
C1130,Siddharth Agarwal,Hyderabad,29,5,Basic,1450.0,6912.84,1 Month,25,28.7,3,2,0,1,High,6,3.3,1,0,0.1017,0
C1131,Harper Moore,London,26,22,Basic,1370.0,28998.86,1 Month,16,20.7,3,3,0,0,Medium,0,5.0,1,0,0.2268,0
C1132,Amelia Moore,Singapore,38,27,Basic,930.0,25661.26,1 Month,9,25.6,3,4,0,0,Medium,4,4.7,0,0,0.3789,0
C1133,Daniel Martin,New York,46,19,Basic,1430.0,24788.69,1 Year,12,12.6,1,0,1,0,Medium,3,4.3,0,0,0.1037,0
C1134,Kabir Bhasin,Mumbai,29,6,Enterprise,14300.0,87346.07,1 Month,12,21.4,5,2,0,0,Medium,2,5.0,0,0,0.2609,0
C1135,Sophia Rodriguez,Singapore,53,10,Basic,950.0,8739.92,1 Year,18,34.2,5,2,0,1,Medium,5,3.4,0,0,0.2089,0
C1136,Anushka Patel,Bengaluru,27,12,Pro,4410.0,54101.52,1 Year,9,33.5,2,1,0,1,Medium,12,3.9,1,1,0.1579,0
C1137,Dev Gupta,Chennai,41,3,Pro,4060.0,12608.76,2 Year,15,41.1,1,1,0,1,Medium,15,3.4,0,0,0.01,0
C1138,Kavya Chopra,Delhi NCR,29,11,Basic,1470.0,15798.38,1 Month,11,41.7,5,1,0,0,Medium,0,2.3,0,2,0.5465,1
C1139,Kavya Verma,Bengaluru,31,4,Enterprise,19500.0,79008.84,1 Year,18,15.7,3,0,1,1,Medium,4,3.8,0,0,0.125,0
C1140,Noah Perez,Sydney,43,13,Enterprise,24680.0,298498.88,1 Month,11,18.2,5,4,0,0,Medium,22,5.0,1,0,0.561,1
C1141,Karan Mehta,Hyderabad,34,1,Basic,1130.0,1147.8,1 Month,18,14.1,3,2,1,1,Medium,55,4.2,1,0,0.8083,1
C1142,Isha Kumar,Hyderabad,22,54,Pro,4400.0,238890.46,1 Year,24,5.2,1,1,0,0,High,11,4.0,0,1,0.1297,0
C1143,Charlotte Lee,Sydney,28,6,Basic,1560.0,8585.1,1 Month,15,26.1,1,1,0,1,Medium,13,3.4,0,0,0.2972,0
C1144,Evelyn Davis,New York,42,12,Basic,1170.0,13697.51,1 Month,18,17.8,3,1,0,0,Medium,17,4.2,0,0,0.3032,0
C1145,Kavya Kulkarni,Mumbai,39,1,Basic,1650.0,1674.62,1 Year,17,5.5,2,0,1,1,Medium,9,3.0,0,0,0.2198,0
C1146,Dev Singh,Hyderabad,42,4,Pro,4930.0,18021.68,1 Month,23,21.0,2,1,1,1,High,8,5.0,0,0,0.1296,0
C1147,Evelyn Lee,San Francisco,30,22,Pro,2620.0,57572.44,1 Month,10,39.7,3,0,0,0,Medium,14,3.2,1,0,0.1617,0
C1148,Benjamin Perez,Sydney,26,3,Basic,1550.0,4743.86,1 Month,14,43.4,5,1,2,1,Medium,14,1.9,0,0,0.7396,1
C1149,Kavya Gupta,Hyderabad,28,18,Basic,1470.0,25196.58,1 Month,15,8.8,5,4,1,1,Medium,21,3.0,0,0,0.8179,1
C1150,Kabir Mehta,Delhi NCR,29,1,Enterprise,21830.0,20897.42,1 Month,15,2.2,1,0,0,0,Medium,3,3.6,0,0,0.1765,0
C1151,Arjun Iyer,Hyderabad,35,12,Basic,630.0,7115.24,1 Month,10,47.4,3,0,0,0,Medium,6,4.2,0,0,0.2557,0
C1152,Kavya Nair,Mumbai,25,23,Basic,1000.0,21345.07,1 Month,9,24.8,4,2,0,1,Medium,3,4.0,0,0,0.3511,0
C1153,Anushka Verma,Delhi NCR,45,47,Pro,4030.0,197683.05,1 Month,10,28.9,4,1,0,0,Medium,15,3.2,1,0,0.2339,0
C1154,Rohan Verma,Mumbai,40,13,Enterprise,15560.0,203399.72,1 Month,12,14.9,2,1,2,1,Medium,6,4.0,0,0,0.2589,0
C1155,James Smith,Toronto,28,34,Basic,1720.0,53094.34,1 Month,15,66.7,4,2,0,1,Medium,20,3.6,0,0,0.1951,0
C1156,Aditya Kulkarni,Chennai,34,30,Pro,4490.0,139973.58,1 Month,9,32.3,1,1,2,1,Medium,2,4.1,0,0,0.1236,0
C1157,Vikram Bhasin,Chennai,28,7,Pro,4470.0,28703.13,1 Year,10,44.2,5,1,0,0,Medium,3,3.7,0,0,0.2061,0
C1158,Isha Singh,Pune,34,38,Basic,1370.0,54069.98,1 Year,15,57.4,3,0,0,1,Medium,4,3.2,0,0,0.01,0
C1159,Priya Singh,Delhi NCR,28,19,Pro,4960.0,91202.38,1 Month,14,15.9,7,8,0,1,Medium,5,2.4,1,0,0.9621,1
C1160,Aarav Kumar,Pune,55,2,Basic,500.0,972.85,1 Month,14,53.2,2,1,1,1,Medium,0,5.0,0,1,0.2349,0
C1161,Noah Taylor,Sydney,21,51,Pro,3980.0,199125.15,1 Month,20,32.4,0,0,0,1,High,1,2.3,0,0,0.01,0
C1162,Karan Joshi,Mumbai,24,4,Pro,3370.0,12321.55,2 Year,12,18.0,2,0,0,1,Medium,28,4.0,0,0,0.1731,0
C1163,Ava Thompson,San Francisco,33,12,Pro,4820.0,57824.33,1 Year,15,6.6,6,3,0,0,Medium,2,3.4,0,0,0.4513,0
C1164,Benjamin Johnson,Singapore,36,12,Basic,1110.0,13295.02,1 Year,15,23.8,3,1,0,1,Medium,41,3.2,0,0,0.4097,0
C1165,Isha Patel,Pune,36,18,Pro,4510.0,80097.39,1 Month,13,11.4,4,2,1,1,Medium,4,3.1,2,0,0.4931,1
C1166,Aarav Chopra,Hyderabad,44,20,Basic,580.0,11984.74,1 Month,11,17.3,5,0,2,0,Medium,13,2.2,0,1,0.7787,1
C1167,Isha Bhasin,Chennai,39,5,Basic,1110.0,5393.29,1 Month,14,17.2,1,0,0,0,Medium,0,3.6,1,0,0.1241,0
C1168,Sneha Agarwal,Chennai,27,8,Basic,1530.0,12320.55,1 Year,22,10.4,1,0,1,0,High,18,2.2,0,2,0.4692,1
C1169,Anushka Kulkarni,Hyderabad,45,3,Pro,5630.0,16060.58,1 Year,14,41.7,2,0,0,0,Medium,5,2.5,1,0,0.033,0
C1170,Karan Nair,Delhi NCR,41,3,Pro,5080.0,15829.71,2 Year,11,16.0,4,2,1,0,Medium,22,4.7,1,0,0.2903,0
C1171,Michael Rodriguez,New York,48,32,Basic,800.0,26619.31,1 Year,20,22.9,2,1,1,0,High,2,4.1,0,0,0.0344,0
C1172,Siddharth Mehta,Delhi NCR,36,26,Pro,5510.0,139293.72,1 Year,14,12.3,4,0,0,0,Medium,36,2.7,0,0,0.2209,0
C1173,Arjun Singh,Hyderabad,45,11,Basic,1420.0,15782.34,1 Month,13,30.5,7,2,0,0,Medium,41,4.3,0,1,0.744,1
C1174,Kabir Iyer,Delhi NCR,21,2,Pro,4410.0,8246.55,1 Year,12,21.2,3,4,0,0,Medium,3,3.0,0,0,0.4984,1
C1175,Daniel Lee,San Francisco,31,11,Basic,590.0,6467.45,1 Year,14,43.0,3,3,0,0,Medium,11,4.4,0,0,0.1867,0
C1176,Vikram Patel,Bengaluru,27,7,Pro,5260.0,33607.82,1 Year,7,13.0,3,1,2,1,Medium,3,2.9,0,1,0.6717,1
C1177,Amelia Lee,London,42,28,Basic,1020.0,29399.31,1 Month,17,23.3,3,0,0,0,Medium,2,3.5,1,0,0.01,0
C1178,Amelia Moore,San Francisco,29,2,Enterprise,19710.0,39744.68,1 Month,12,13.4,2,1,2,1,Medium,15,3.2,1,0,0.528,1
C1179,Neha Mehta,Chennai,44,11,Basic,1220.0,14000.22,1 Month,18,36.4,5,2,0,0,Medium,29,3.6,0,0,0.617,1
